Time,Qom,ComX,ComY,AomX1,AomY1,AomX2,AomY2
365640,540532,0.5021782688166472,0.4964287868248317,0.6613333333333333,0.38666666666666666,0.7046666666666667,0.48
365680,622033,0.5037435527268382,0.49472575142047664,0.6766666666666666,0.5,0.7,0.5916666666666667
365720,470508,0.4879430502067268,0.49170883739844307,0.6773333333333333,0.505,0.7046666666666667,0.5866666666666667
365760,733437,0.5078311784106884,0.4928074508558107,0.8413333333333334,0.5333333333333333,0.8653333333333333,0.5983333333333334
365800,1131942,0.5249748338106841,0.500288508598497,0.10666666666666667,0.29833333333333334,0.16066666666666668,0.42833333333333334
365840,513344,0.47772788227777097,0.47752079177575535,0.6766666666666666,0.4816666666666667,0.6933333333333334,0.5616666666666666
365880,653811,0.5098973505595145,0.4771053714299698,0.6766666666666666,0.465,0.7053333333333334,0.5916666666666667
365920,470256,0.4823668455763101,0.4711089279030998,0.6633333333333333,0.5133333333333333,0.6893333333333334,0.56
365960,834691,0.5133034819671791,0.48549576430080105,0.6546666666666666,0.51,0.6853333333333333,0.6366666666666667
366000,448015,0.49396752192076926,0.4728913131628777,0.6793333333333333,0.435,0.6933333333333334,0.4816666666666667
366040,676506,0.5108986330744542,0.47952658710097673,0.6966666666666667,0.47,0.734,0.5933333333333334
366080,471660,0.47650447497491116,0.4721700801424756,0.68,0.46166666666666667,0.694,0.51
366120,862443,0.5086396241065593,0.4924721942976714,0.6493333333333333,0.36333333333333334,0.676,0.62
366160,446687,0.4783780574167892,0.4755487362142469,0.6793333333333333,0.4583333333333333,0.6953333333333334,0.535
366200,643103,0.5124575627854324,0.4738570597037591,0.656,0.5366666666666666,0.7206666666666667,0.625
366240,511702,0.487679451451561,0.47071859858537474,0.682,0.45166666666666666,0.6953333333333334,0.5033333333333333
366280,762101,0.512079360434728,0.4783208415507482,0.6753333333333333,0.44666666666666666,0.7046666666666667,0.5083333333333333
366320,912567,0.5210661514898813,0.4925846832798762,0.7233333333333334,0.0,0.748,0.065
366360,512761,0.4844168842794207,0.4784161984498303,0.678,0.4033333333333333,0.6946666666666667,0.4583333333333333
366400,699500,0.501296121991899,0.48154348582320705,0.6646666666666666,0.44666666666666666,0.734,0.6183333333333333
366440,510900,0.4850055744764142,0.47832158608990655,0.5953333333333334,0.5533333333333333,0.612,0.6116666666666667
366480,782998,0.5165642160005518,0.4973200229545072,0.102,0.695,0.13866666666666666,0.7366666666666667
366520,441655,0.48469340699565655,0.483314736615684,0.5986666666666667,0.595,0.612,0.615
366560,619190,0.4879743708177888,0.4823926366166551,0.594,0.51,0.624,0.5466666666666666
366600,485800,0.4846437848222862,0.47787460546178123,0.6066666666666667,0.4483333333333333,0.6213333333333333,0.48333333333333334
366640,750681,0.5140455692897516,0.49498609928851256,0.09533333333333334,0.31666666666666665,0.12,0.3516666666666667
366680,422242,0.48221252899206296,0.4772986225908366,0.62,0.4583333333333333,0.6386666666666667,0.48333333333333334
366720,659166,0.5001781594722219,0.4805852850420077,0.41733333333333333,0.47833333333333333,0.43333333333333335,0.5183333333333333
366760,526492,0.4858404458187397,0.4778480331451696,0.13333333333333333,0.3416666666666667,0.15,0.41333333333333333
366800,681477,0.5127307030660365,0.48167011995024533,0.524,0.5833333333333334,0.5453333333333333,0.64
366840,1027961,0.5287453505856093,0.4936612916248767,0.85,0.39166666666666666,0.8886666666666667,0.5316666666666666
